battery_id,mat_cycle,discharge_cycle,Voltage,Current,Temperature,Time,Capacity,SOC,SOH,RUL
56,4,1,4.197,0.000,26.515,0.000,1.847,1.000,1.000,28.000
56,4,1,4.197,-0.000,26.504,9.360,1.847,1.000,1.000,28.000
56,4,1,3.728,-4.025,26.585,19.547,1.847,0.994,1.000,28.000
56,4,1,4.166,-0.002,26.760,29.500,1.847,0.994,1.000,28.000
56,4,1,3.701,-4.025,26.889,39.469,1.847,0.988,1.000,28.000
56,4,1,4.147,0.001,27.064,49.375,1.847,0.988,1.000,28.000
56,4,1,3.680,-4.026,27.193,59.407,1.847,0.982,1.000,28.000
56,4,1,4.133,0.001,27.357,69.375,1.847,0.982,1.000,28.000
56,4,1,3.664,-4.026,27.471,79.344,1.847,0.976,1.000,28.000
56,4,1,4.121,-0.001,27.634,89.375,1.847,0.976,1.000,28.000
56,4,1,3.650,-4.026,27.748,99.391,1.847,0.970,1.000,28.000
56,4,1,4.110,-0.000,27.904,109.422,1.847,0.970,1.000,28.000
56,4,1,3.639,-4.025,28.020,119.407,1.847,0.964,1.000,28.000
56,4,1,4.101,-0.001,28.173,129.438,1.847,0.964,1.000,28.000
56,4,1,3.630,-4.026,28.274,139.391,1.847,0.958,1.000,28.000
56,4,1,4.092,-0.001,28.413,149.407,1.847,0.958,1.000,28.000
56,4,1,3.622,-4.024,28.519,159.360,1.847,0.952,1.000,28.000
56,4,1,4.084,-0.001,28.660,169.360,1.847,0.952,1.000,28.000
56,4,1,3.614,-4.025,28.759,179.360,1.847,0.946,1.000,28.000
56,4,1,4.076,-0.002,28.895,189.313,1.847,0.946,1.000,28.000
56,4,1,3.608,-4.025,28.986,199.282,1.847,0.939,1.000,28.000
56,4,1,4.069,0.000,29.116,209.235,1.847,0.939,1.000,28.000
56,4,1,3.601,-4.026,29.210,219.282,1.847,0.933,1.000,28.000
56,4,1,4.062,0.001,29.341,229.266,1.847,0.933,1.000,28.000
56,4,1,3.596,-4.026,29.427,239.266,1.847,0.927,1.000,28.000
56,4,1,4.055,0.003,29.568,249.204,1.847,0.927,1.000,28.000
56,4,1,3.591,-4.027,29.651,259.172,1.847,0.921,1.000,28.000
56,4,1,4.048,-0.000,29.770,269.219,1.847,0.921,1.000,28.000
56,4,1,3.586,-4.026,29.856,279.141,1.847,0.915,1.000,28.000
56,4,1,4.042,-0.001,29.967,289.079,1.847,0.915,1.000,28.000
56,4,1,3.581,-4.027,30.053,299.032,1.847,0.909,1.000,28.000
56,4,1,4.035,-0.000,30.175,309.094,1.847,0.909,1.000,28.000
56,4,1,3.576,-4.024,30.251,319.110,1.847,0.903,1.000,28.000
