Cycle,RUL,SOH
1,1637,0.964138545
2,1636,0.964553636
3,1635,0.965073364
4,1634,0.965583545
5,1633,0.965943636
6,1632,0.966377455
7,1631,0.966455
8,1630,0.96678
9,1629,0.966791091
10,1628,0.966909
11,1627,0.966988818
12,1626,0.967058636
13,1625,0.967164818
14,1624,0.966108636
15,1623,0.967056545
16,1622,0.967362182
17,1621,0.967394364
18,1620,0.967544636
19,1619,0.967484727
20,1618,0.967467909
21,1617,0.967520182
22,1616,0.967486091
23,1615,0.967451909
24,1614,0.967451727
25,1613,0.967486455
26,1612,0.967386
27,1611,0.967441909
28,1610,0.967476727
29,1609,0.967581727
30,1608,0.967537364
31,1607,0.967516
32,1606,0.967510727
33,1605,0.967485
34,1604,0.967539909
35,1603,0.967558273
36,1602,0.967427818
37,1601,0.967345
38,1600,0.967468091
39,1599,0.967350909
40,1598,0.967283455
41,1597,0.967223818
42,1596,0.967246273
43,1595,0.967171545
44,1594,0.967216182
45,1593,0.967289182
46,1592,0.967197545
47,1591,0.967203455
48,1590,0.967156545
49,1589,0.967283545
50,1588,0.967233818
51,1587,0.967285091
52,1586,0.967300455
53,1585,0.967209636
54,1584,0.967341545
55,1583,0.967348364
56,1582,0.966948455
57,1581,0.967152455
58,1580,0.967218182
59,1579,0.967202818
60,1578,0.967128273
61,1577,0.966997455
62,1576,0.967056273
63,1575,0.966977091
64,1574,0.966983273
65,1573,0.966936909
66,1572,0.966988
67,1571,0.966850818
68,1570,0.966805909
69,1569,0.966705727
70,1568,0.966603
71,1567,0.966409
72,1566,0.966593818
73,1565,0.966609818
74,1564,0.966599636
75,1563,0.966578273
76,1562,0.966472909
77,1561,0.966510545
78,1560,0.966531545
79,1559,0.966465545
80,1558,0.965371364
81,1557,0.966468273
82,1556,0.966473727
83,1555,0.966326364
84,1554,0.966452818
85,1553,0.966363909
86,1552,0.966357091
87,1551,0.966349364
88,1550,0.965308455
89,1549,0.966470818
90,1548,0.966409455
91,1547,0.966338455
92,1546,0.966388273
93,1545,0.966280818
94,1544,0.966198727
95,1543,0.966116364
96,1542,0.965966091
97,1541,0.964943364
98,1540,0.965876455
99,1539,0.965939091
100,1538,0.965961727
