battery_id,cycle_number,Voltage_measured,Current_measured,Temperature_measured,Time,Capacity,SOC,SOH,RUL
5,4,4.1819,0.0001,26.4293,0.0000,1.8047,1.0000,1.0000,78.0000
5,4,4.1819,-0.0002,26.4322,9.3600,1.8047,1.0000,1.0000,78.0000
5,4,3.9428,-1.9969,26.4481,19.5470,1.8047,0.9969,1.0000,78.0000
5,4,4.1667,0.0009,26.5073,29.5000,1.8047,0.9969,1.0000,78.0000
5,4,3.9310,-1.9985,26.5551,39.4690,1.8047,0.9938,1.0000,78.0000
5,4,4.1575,-0.0072,26.6112,49.3750,1.8047,0.9938,1.0000,78.0000
5,4,3.9224,-2.0010,26.6513,59.4070,1.8047,0.9907,1.0000,78.0000
5,4,4.1504,0.0011,26.7146,69.3750,1.8047,0.9907,1.0000,78.0000
5,4,3.9156,-1.9992,26.7554,79.3440,1.8047,0.9876,1.0000,78.0000
5,4,4.1447,-0.0014,26.8036,89.3750,1.8047,0.9876,1.0000,78.0000
5,4,3.9098,-1.9980,26.8453,99.3910,1.8047,0.9845,1.0000,78.0000
5,4,4.1393,-0.0018,26.8990,109.4220,1.8047,0.9845,1.0000,78.0000
5,4,3.9047,-1.9969,26.9264,119.4070,1.8047,0.9815,1.0000,78.0000
5,4,4.1348,-0.0005,26.9804,129.4380,1.8047,0.9815,1.0000,78.0000
5,4,3.9003,-1.9988,27.0191,139.3910,1.8047,0.9784,1.0000,78.0000
5,4,4.1307,-0.0030,27.0543,149.4070,1.8047,0.9784,1.0000,78.0000
5,4,3.8961,-1.9980,27.0901,159.3600,1.8047,0.9753,1.0000,78.0000
5,4,4.1267,-0.0018,27.1283,169.3600,1.8047,0.9753,1.0000,78.0000
5,4,3.8922,-1.9976,27.1643,179.3600,1.8047,0.9723,1.0000,78.0000
5,4,4.1230,-0.0007,27.1982,189.3130,1.8047,0.9723,1.0000,78.0000
5,4,3.8887,-1.9984,27.2307,199.2820,1.8047,0.9692,1.0000,78.0000
5,4,4.1192,-0.0018,27.2762,209.2350,1.8047,0.9692,1.0000,78.0000
5,4,3.8852,-1.9961,27.3042,219.2820,1.8047,0.9661,1.0000,78.0000
5,4,4.1158,-0.0009,27.3505,229.2660,1.8047,0.9661,1.0000,78.0000
5,4,3.8819,-1.9970,27.3688,239.2660,1.8047,0.9630,1.0000,78.0000
5,4,4.1125,0.0006,27.4171,249.2040,1.8047,0.9630,1.0000,78.0000
5,4,3.8786,-1.9965,27.4317,259.1720,1.8047,0.9600,1.0000,78.0000
5,4,4.1091,-0.0040,27.4697,269.2190,1.8047,0.9600,1.0000,78.0000
5,4,3.8756,-1.9961,27.4974,279.1410,1.8047,0.9569,1.0000,78.0000
5,4,4.1058,-0.0021,27.5357,289.0790,1.8047,0.9569,1.0000,78.0000
5,4,3.8725,-1.9973,27.5576,299.0320,1.8047,0.9539,1.0000,78.0000
5,4,4.1027,-0.0007,27.5961,309.0940,1.8047,0.9539,1.0000,78.0000
5,4,3.8695,-1.9974,27.6193,319.1100,1.8047,0.9508,1.0000,78.0000
5,4,4.0995,-0.0029,27.6539,329.1100,1.8047,0.9508,1.0000,78.0000
5,4,3.8665,-1.9983,27.6771,339.0790,1.8047,0.9477,1.0000,78.0000
5,4,4.0962,-0.0015,27.7253,349.0790,1.8047,0.9477,1.0000,78.0000
5,4,3.8636,-1.9961,27.7368,359.0320,1.8047,0.9446,1.0000,78.0000
5,4,4.0931,-0.0003,27.7735,368.9690,1.8047,0.9446,1.0000,78.0000
5,4,3.8607,-1.9987,27.7978,378.9220,1.8047,0.9416,1.0000,78.0000
5,4,4.0901,0.0013,27.8332,388.8600,1.8047,0.9416,1.0000,78.0000
5,4,3.8578,-1.9961,27.8501,398.8750,1.8047,0.9385,1.0000,78.0000
5,4,4.0869,0.0005,27.8862,408.8290,1.8047,0.9385,1.0000,78.0000
5,4,3.8548,-1.9986,27.9024,418.7660,1.8047,0.9354,1.0000,78.0000
5,4,4.0840,-0.0031,27.9434,428.7350,1.8047,0.9354,1.0000,78.0000
5,4,3.8520,-1.9987,27.9674,438.7350,1.8047,0.9324,1.0000,78.0000
5,4,4.0809,-0.0010,28.0103,448.7040,1.8047,0.9324,1.0000,78.0000
5,4,3.8493,-1.9970,28.0176,458.6570,1.8047,0.9293,1.0000,78.0000
5,4,4.0778,-0.0024,28.0476,468.5940,1.8047,0.9293,1.0000,78.0000
5,4,3.8465,-1.9978,28.0678,478.5320,1.8047,0.9262,1.0000,78.0000
5,4,4.0747,-0.0017,28.1181,488.5320,1.8047,0.9262,1.0000,78.0000
