battery_id,cycle_number,Voltage_measured,Current_measured,Temperature_measured,Time,Capacity,SOC,SOH,RUL_cycles
5,1,3.8455,-0.0009,9.2926,0.0000,0.8584,1.0000,0.3609,0.0000
5,1,3.8462,-0.0010,9.2985,9.3130,0.8584,1.0000,0.3609,0.0000
5,1,3.4827,-2.0098,9.2761,19.4060,0.8584,0.9934,0.3609,0.0000
5,1,3.4574,-2.0146,9.2939,28.7970,0.8584,0.9873,0.3609,0.0000
5,1,3.4358,-2.0125,9.2964,38.1410,0.8584,0.9812,0.3609,0.0000
5,1,3.4161,-2.0132,9.3642,47.5630,0.8584,0.9751,0.3609,0.0000
5,1,3.3974,-2.0136,9.3865,56.9530,0.8584,0.9690,0.3609,0.0000
5,1,3.3795,-2.0136,9.4809,66.2350,0.8584,0.9629,0.3609,0.0000
5,1,3.3612,-2.0131,9.5481,75.6250,0.8584,0.9568,0.3609,0.0000
5,1,3.3434,-2.0129,9.6101,85.0000,0.8584,0.9507,0.3609,0.0000
5,1,3.3253,-2.0137,9.7064,94.3440,0.8584,0.9446,0.3609,0.0000
5,1,3.3068,-2.0144,9.7693,103.7500,0.8584,0.9385,0.3609,0.0000
5,1,3.2885,-2.0129,9.8619,113.1100,0.8584,0.9324,0.3609,0.0000
5,1,3.2699,-2.0120,9.9349,122.4690,0.8584,0.9263,0.3609,0.0000
5,1,3.2512,-2.0103,10.0389,131.8600,0.8584,0.9202,0.3609,0.0000
5,1,3.2328,-2.0109,10.1130,141.2350,0.8584,0.9141,0.3609,0.0000
5,1,3.2151,-2.0122,10.2262,150.6100,0.8584,0.9080,0.3609,0.0000
5,1,3.1993,-2.0125,10.3362,159.9530,0.8584,0.9019,0.3609,0.0000
5,1,3.1848,-2.0110,10.4322,169.3280,0.8584,0.8958,0.3609,0.0000
5,1,3.1732,-2.0122,10.5221,178.6880,0.8584,0.8897,0.3609,0.0000
5,1,3.1643,-2.0140,10.6309,188.0000,0.8584,0.8836,0.3609,0.0000
5,1,3.1583,-2.0136,10.6461,197.3130,0.8584,0.8776,0.3609,0.0000
5,1,3.1546,-2.0140,10.7527,206.6720,0.8584,0.8715,0.3609,0.0000
5,1,3.1531,-2.0130,10.9183,216.0000,0.8584,0.8654,0.3609,0.0000
5,1,3.1533,-2.0152,10.9782,225.3280,0.8584,0.8593,0.3609,0.0000
5,1,3.1546,-2.0118,11.1169,234.6410,0.8584,0.8532,0.3609,0.0000
5,1,3.1572,-2.0115,11.2170,243.9530,0.8584,0.8472,0.3609,0.0000
5,1,3.1602,-2.0136,11.3140,253.2810,0.8584,0.8411,0.3609,0.0000
5,1,3.1637,-2.0133,11.4099,262.6560,0.8584,0.8350,0.3609,0.0000
5,1,3.1673,-2.0124,11.5330,272.0000,0.8584,0.8289,0.3609,0.0000
5,1,3.1711,-2.0120,11.5995,281.3750,0.8584,0.8228,0.3609,0.0000
5,1,3.1752,-2.0119,11.6892,290.7030,0.8584,0.8167,0.3609,0.0000
5,1,3.1794,-2.0119,11.7413,300.1250,0.8584,0.8106,0.3609,0.0000
5,1,3.1832,-2.0134,11.8454,309.4850,0.8584,0.8045,0.3609,0.0000
5,1,3.1871,-2.0163,11.9254,318.8280,0.8584,0.7984,0.3609,0.0000
5,1,3.1908,-2.0113,12.0030,328.2190,0.8584,0.7923,0.3609,0.0000
