battery_id,cycle_number,Voltage_measured,Current_measured,Temperature_measured,Time,Capacity,SOC,SOH,RUL
5,3,4.1881,0.0001,23.8195,0.0000,1.8550,1.0000,1.0000,319.0000
5,3,4.1882,0.0015,23.8288,9.4220,1.8550,1.0000,1.0000,319.0000
5,3,3.9774,-2.0057,23.8449,19.5780,1.8550,0.9969,1.0000,319.0000
5,3,3.9620,-2.0122,23.9256,29.0160,1.8550,0.9941,1.0000,319.0000
5,3,3.9498,-2.0120,24.0106,38.4850,1.8550,0.9913,1.0000,319.0000
5,3,3.9396,-2.0073,24.1032,47.9060,1.8550,0.9884,1.0000,319.0000
5,3,3.9305,-2.0093,24.1916,57.3280,1.8550,0.9856,1.0000,319.0000
5,3,3.9222,-2.0103,24.2943,66.7500,1.8550,0.9827,1.0000,319.0000
5,3,3.9146,-2.0100,24.3826,76.1560,1.8550,0.9799,1.0000,319.0000
5,3,3.9076,-2.0087,24.4763,85.5940,1.8550,0.9771,1.0000,319.0000
5,3,3.9013,-2.0106,24.5746,95.0310,1.8550,0.9742,1.0000,319.0000
5,3,3.8952,-2.0096,24.6674,104.3910,1.8550,0.9714,1.0000,319.0000
5,3,3.8897,-2.0078,24.7606,113.7660,1.8550,0.9686,1.0000,319.0000
5,3,3.8842,-2.0115,24.8595,123.1250,1.8550,0.9658,1.0000,319.0000
5,3,3.8791,-2.0081,24.9622,132.5310,1.8550,0.9630,1.0000,319.0000
5,3,3.8745,-2.0114,25.0479,141.9380,1.8550,0.9601,1.0000,319.0000
5,3,3.8700,-2.0098,25.1506,151.3280,1.8550,0.9573,1.0000,319.0000
5,3,3.8656,-2.0123,25.2460,160.7350,1.8550,0.9545,1.0000,319.0000
5,3,3.8613,-2.0075,25.3346,170.1250,1.8550,0.9516,1.0000,319.0000
5,3,3.8575,-2.0081,25.4162,179.5310,1.8550,0.9488,1.0000,319.0000
5,3,3.8534,-2.0098,25.5181,188.9380,1.8550,0.9460,1.0000,319.0000
5,3,3.8498,-2.0102,25.6041,198.3440,1.8550,0.9431,1.0000,319.0000
5,3,3.8460,-2.0087,25.7059,207.7190,1.8550,0.9403,1.0000,319.0000
5,3,3.8424,-2.0076,25.7867,217.1720,1.8550,0.9375,1.0000,319.0000
5,3,3.8391,-2.0117,25.8771,226.5780,1.8550,0.9347,1.0000,319.0000
5,3,3.8358,-2.0074,25.9665,235.9380,1.8550,0.9318,1.0000,319.0000
5,3,3.8322,-2.0117,26.0507,245.3600,1.8550,0.9290,1.0000,319.0000
5,3,3.8293,-2.0085,26.1343,254.8280,1.8550,0.9262,1.0000,319.0000
5,3,3.8262,-2.0078,26.2209,264.1880,1.8550,0.9233,1.0000,319.0000
5,3,3.8232,-2.0070,26.2974,273.5940,1.8550,0.9205,1.0000,319.0000
5,3,3.8203,-2.0080,26.3897,283.0000,1.8550,0.9177,1.0000,319.0000
5,3,3.8172,-2.0090,26.4669,292.4060,1.8550,0.9149,1.0000,319.0000
5,3,3.8146,-2.0066,26.5570,301.8600,1.8550,0.9120,1.0000,319.0000
5,3,3.8117,-2.0100,26.6355,311.2190,1.8550,0.9092,1.0000,319.0000
5,3,3.8091,-2.0116,26.7121,320.5630,1.8550,0.9064,1.0000,319.0000
5,3,3.8064,-2.0088,26.7962,329.9530,1.8550,0.9036,1.0000,319.0000
5,3,3.8037,-2.0084,26.8764,339.3280,1.8550,0.9007,1.0000,319.0000
5,3,3.8009,-2.0106,26.9590,348.6880,1.8550,0.8979,1.0000,319.0000
5,3,3.7987,-2.0068,27.0344,358.0630,1.8550,0.8951,1.0000,319.0000
5,3,3.7961,-2.0071,27.1091,367.4220,1.8550,0.8923,1.0000,319.0000
5,3,3.7935,-2.0076,27.1866,376.8280,1.8550,0.8895,1.0000,319.0000
5,3,3.7912,-2.0110,27.2724,386.2350,1.8550,0.8866,1.0000,319.0000
5,3,3.7887,-2.0113,27.3387,395.6250,1.8550,0.8838,1.0000,319.0000
5,3,3.7865,-2.0093,27.4305,405.0470,1.8550,0.8810,1.0000,319.0000
5,3,3.7841,-2.0058,27.5063,414.4690,1.8550,0.8781,1.0000,319.0000
5,3,3.7815,-2.0109,27.5768,423.8600,1.8550,0.8753,1.0000,319.0000
5,3,3.7791,-2.0087,27.6515,433.2660,1.8550,0.8725,1.0000,319.0000
5,3,3.7769,-2.0068,27.7227,442.6250,1.8550,0.8697,1.0000,319.0000
5,3,3.7744,-2.0112,27.7990,452.1250,1.8550,0.8668,1.0000,319.0000
5,3,3.7720,-2.0103,27.8621,461.5000,1.8550,0.8640,1.0000,319.0000
5,3,3.7696,-2.0128,27.9389,470.8600,1.8550,0.8612,1.0000,319.0000
5,3,3.7674,-2.0110,28.0143,480.2190,1.8550,0.8583,1.0000,319.0000
5,3,3.7651,-2.0085,28.0745,489.6410,1.8550,0.8555,1.0000,319.0000
5,3,3.7627,-2.0089,28.1330,499.0000,1.8550,0.8527,1.0000,319.0000
5,3,3.7603,-2.0083,28.2073,508.3910,1.8550,0.8499,1.0000,319.0000
5,3,3.7580,-2.0088,28.2698,517.7350,1.8550,0.8471,1.0000,319.0000
5,3,3.7558,-2.0088,28.3279,527.0780,1.8550,0.8442,1.0000,319.0000
5,3,3.7533,-2.0076,28.3885,536.4220,1.8550,0.8414,1.0000,319.0000
5,3,3.7511,-2.0083,28.4567,545.8130,1.8550,0.8386,1.0000,319.0000
5,3,3.7488,-2.0095,28.5154,555.1880,1.8550,0.8358,1.0000,319.0000
5,3,3.7464,-2.0083,28.5730,564.5470,1.8550,0.8330,1.0000,319.0000
5,3,3.7443,-2.0082,28.6370,573.9380,1.8550,0.8302,1.0000,319.0000
5,3,3.7419,-2.0093,28.6898,583.3130,1.8550,0.8273,1.0000,319.0000
5,3,3.7397,-2.0101,28.7456,592.6880,1.8550,0.8245,1.0000,319.0000
5,3,3.7376,-2.0103,28.7891,602.0470,1.8550,0.8217,1.0000,319.0000
5,3,3.7353,-2.0089,28.8283,611.4690,1.8550,0.8189,1.0000,319.0000
5,3,3.7331,-2.0097,28.8796,620.9060,1.8550,0.8160,1.0000,319.0000
5,3,3.7310,-2.0095,28.9308,630.2810,1.8550,0.8132,1.0000,319.0000
5,3,3.7289,-2.0091,28.9842,639.6410,1.8550,0.8104,1.0000,319.0000
5,3,3.7266,-2.0093,29.0274,649.0160,1.8550,0.8076,1.0000,319.0000
5,3,3.7244,-2.0066,29.0570,658.4060,1.8550,0.8047,1.0000,319.0000
5,3,3.7223,-2.0109,29.0987,667.7810,1.8550,0.8019,1.0000,319.0000
5,3,3.7202,-2.0082,29.1466,677.1720,1.8550,0.7991,1.0000,319.0000
5,3,3.7180,-2.0076,29.1686,686.5160,1.8550,0.7963,1.0000,319.0000
5,3,3.7159,-2.0097,29.2058,695.9220,1.8550,0.7935,1.0000,319.0000
5,3,3.7141,-2.0074,29.2470,705.3130,1.8550,0.7906,1.0000,319.0000
5,3,3.7117,-2.0076,29.2795,714.7350,1.8550,0.7878,1.0000,319.0000
5,3,3.7098,-2.0107,29.3045,724.1410,1.8550,0.7850,1.0000,319.0000
5,3,3.7074,-2.0098,29.3374,733.5000,1.8550,0.7821,1.0000,319.0000
5,3,3.7055,-2.0075,29.3708,742.8910,1.8550,0.7793,1.0000,319.0000
5,3,3.7035,-2.0091,29.3944,752.2810,1.8550,0.7765,1.0000,319.0000
5,3,3.7014,-2.0058,29.4171,761.6560,1.8550,0.7737,1.0000,319.0000
5,3,3.6994,-2.0106,29.4508,771.0310,1.8550,0.7709,1.0000,319.0000
5,3,3.6973,-2.0092,29.4817,780.4220,1.8550,0.7680,1.0000,319.0000
5,3,3.6952,-2.0099,29.4962,789.8440,1.8550,0.7652,1.0000,319.0000
5,3,3.6932,-2.0112,29.5224,799.2500,1.8550,0.7624,1.0000,319.0000
5,3,3.6914,-2.0101,29.5483,808.6560,1.8550,0.7595,1.0000,319.0000
5,3,3.6893,-2.0074,29.5623,818.0310,1.8550,0.7567,1.0000,319.0000
5,3,3.6870,-2.0084,29.5817,827.4380,1.8550,0.7539,1.0000,319.0000
5,3,3.6851,-2.0108,29.6064,836.7810,1.8550,0.7511,1.0000,319.0000
5,3,3.6833,-2.0087,29.6247,846.1880,1.8550,0.7482,1.0000,319.0000
5,3,3.6812,-2.0083,29.6576,855.6410,1.8550,0.7454,1.0000,319.0000
5,3,3.6792,-2.0108,29.6755,865.0310,1.8550,0.7426,1.0000,319.0000
5,3,3.6772,-2.0086,29.6943,874.4530,1.8550,0.7397,1.0000,319.0000
5,3,3.6752,-2.0079,29.7092,883.8280,1.8550,0.7369,1.0000,319.0000
5,3,3.6731,-2.0084,29.7329,893.2190,1.8550,0.7341,1.0000,319.0000
5,3,3.6710,-2.0086,29.7547,902.5780,1.8550,0.7313,1.0000,319.0000
5,3,3.6693,-2.0092,29.7881,911.9530,1.8550,0.7285,1.0000,319.0000
5,3,3.6674,-2.0093,29.8049,921.3280,1.8550,0.7256,1.0000,319.0000
5,3,3.6653,-2.0093,29.8344,930.8130,1.8550,0.7228,1.0000,319.0000
5,3,3.6634,-2.0088,29.8633,940.1880,1.8550,0.7200,1.0000,319.0000
5,3,3.6615,-2.0088,29.8806,949.5780,1.8550,0.7171,1.0000,319.0000
5,3,3.6596,-2.0071,29.8960,958.9530,1.8550,0.7143,1.0000,319.0000
5,3,3.6576,-2.0100,29.9246,968.3130,1.8550,0.7115,1.0000,319.0000
5,3,3.6558,-2.0105,29.9412,977.7030,1.8550,0.7087,1.0000,319.0000
5,3,3.6540,-2.0086,29.9686,987.0630,1.8550,0.7059,1.0000,319.0000
5,3,3.6520,-2.0110,30.0051,996.3910,1.8550,0.7031,1.0000,319.0000
5,3,3.6501,-2.0085,30.0241,1005.7970,1.8550,0.7002,1.0000,319.0000
5,3,3.6482,-2.0100,30.0347,1015.1560,1.8550,0.6974,1.0000,319.0000
5,3,3.6465,-2.0100,30.0646,1024.5160,1.8550,0.6946,1.0000,319.0000
5,3,3.6446,-2.0111,30.0971,1033.8910,1.8550,0.6918,1.0000,319.0000
5,3,3.6426,-2.0084,30.1332,1043.2660,1.8550,0.6890,1.0000,319.0000
5,3,3.6409,-2.0094,30.1526,1052.6410,1.8550,0.6861,1.0000,319.0000
5,3,3.6390,-2.0098,30.1803,1062.0310,1.8550,0.6833,1.0000,319.0000
5,3,3.6371,-2.0091,30.2143,1071.3750,1.8550,0.6805,1.0000,319.0000
5,3,3.6354,-2.0103,30.2464,1080.7810,1.8550,0.6777,1.0000,319.0000
5,3,3.6335,-2.0080,30.2660,1090.2660,1.8550,0.6748,1.0000,319.0000
5,3,3.6317,-2.0102,30.2932,1099.6720,1.8550,0.6720,1.0000,319.0000
5,3,3.6299,-2.0112,30.3159,1109.1560,1.8550,0.6691,1.0000,319.0000
5,3,3.6281,-2.0087,30.3524,1118.5160,1.8550,0.6663,1.0000,319.0000
5,3,3.6262,-2.0087,30.3694,1127.9060,1.8550,0.6635,1.0000,319.0000
5,3,3.6244,-2.0091,30.4019,1137.3280,1.8550,0.6606,1.0000,319.0000
5,3,3.6228,-2.0107,30.4232,1146.7350,1.8550,0.6578,1.0000,319.0000
5,3,3.6209,-2.0084,30.4529,1156.1100,1.8550,0.6550,1.0000,319.0000
5,3,3.6192,-2.0070,30.4827,1165.5780,1.8550,0.6522,1.0000,319.0000
5,3,3.6174,-2.0063,30.5126,1174.9850,1.8550,0.6493,1.0000,319.0000
5,3,3.6154,-2.0082,30.5347,1184.4850,1.8550,0.6465,1.0000,319.0000
5,3,3.6140,-2.0079,30.5576,1193.8750,1.8550,0.6436,1.0000,319.0000
5,3,3.6121,-2.0097,30.5868,1203.2810,1.8550,0.6408,1.0000,319.0000
5,3,3.6103,-2.0096,30.6230,1212.6720,1.8550,0.6380,1.0000,319.0000
5,3,3.6086,-2.0095,30.6434,1222.0780,1.8550,0.6352,1.0000,319.0000
5,3,3.6069,-2.0104,30.6867,1231.5160,1.8550,0.6323,1.0000,319.0000
5,3,3.6051,-2.0077,30.7060,1240.9060,1.8550,0.6295,1.0000,319.0000
5,3,3.6034,-2.0071,30.7336,1250.2970,1.8550,0.6267,1.0000,319.0000
5,3,3.6019,-2.0097,30.7585,1259.6720,1.8550,0.6238,1.0000,319.0000
5,3,3.5999,-2.0062,30.7760,1269.0630,1.8550,0.6210,1.0000,319.0000
5,3,3.5980,-2.0095,30.8121,1278.4060,1.8550,0.6182,1.0000,319.0000
5,3,3.5966,-2.0106,30.8424,1287.7810,1.8550,0.6154,1.0000,319.0000
5,3,3.5948,-2.0083,30.8662,1297.1880,1.8550,0.6126,1.0000,319.0000
5,3,3.5933,-2.0071,30.9040,1306.6410,1.8550,0.6097,1.0000,319.0000
5,3,3.5914,-2.0103,30.9376,1316.0470,1.8550,0.6069,1.0000,319.0000
5,3,3.5896,-2.0102,30.9636,1325.4380,1.8550,0.6041,1.0000,319.0000
5,3,3.5881,-2.0100,30.9857,1334.7970,1.8550,0.6012,1.0000,319.0000
